"codigo","species","img"
"Oct-19(40).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-19(40).jpg"
"Oct-19(46).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-19(46).jpg"
"Oct-20(13).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-20(13).jpg"
"Oct-20(9).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-20(9).jpg"
"Oct-23(13).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-23(13).jpg"
"Oct-23(14).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-23(14).jpg"
"Oct-23(15).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-23(15).jpg"
"Oct-23(16).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-23(16).jpg"
"Oct-23(7).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-23(7).jpg"
"Oct-49(2).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-49(2).jpg"
"Oct-49(8).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-49(8).jpg"
"Oct-61(1).jpg","Anchoa","figs/2015/Otolitos_ Oct/Anchoa/Oct-61(1).jpg"
"Oct-46(1).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-46(1).jpg"
"Oct-46(2).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-46(2).jpg"
"Oct-46(3).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-46(3).jpg"
"Oct-46(4).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-46(4).jpg"
"Oct-57(1).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-57(1).jpg"
"Oct-58(10).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(10).jpg"
"Oct-58(11).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(11).jpg"
"Oct-58(12).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(12).jpg"
"Oct-58(13).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(13).jpg"
"Oct-58(15).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(15).jpg"
"Oct-58(2).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(2).jpg"
"Oct-58(3).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(3).jpg"
"Oct-58(4).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(4).jpg"
"Oct-58(5).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(5).jpg"
"Oct-58(6).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(6).jpg"
"Oct-58(7).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(7).jpg"
"Oct-58(8).jpg","Caranx","figs/2015/Otolitos_ Oct/Caranx/Oct-58(8).jpg"
"Oct-24(1).jpg","Chromis atrilobata","figs/2015/Otolitos_ Oct/Chromis atrilobata/Oct-24(1).jpg"
"Oct-30(6).jpg","Chromis atrilobata","figs/2015/Otolitos_ Oct/Chromis atrilobata/Oct-30(6).jpg"
"Oct-49(3).jpg","Chromis atrilobata","figs/2015/Otolitos_ Oct/Chromis atrilobata/Oct-49(3).jpg"
"Oct-61(2).jpg","Chromis atrilobata","figs/2015/Otolitos_ Oct/Chromis atrilobata/Oct-61(2).jpg"
"Oct-63(1).jpg","Chromis atrilobata","figs/2015/Otolitos_ Oct/Chromis atrilobata/Oct-63(1).jpg"
"Oct-19(20).jpg","Diplectrum","figs/2015/Otolitos_ Oct/Diplectrum/Oct-19(20).jpg"
"Oct-19(32).jpg","Diplectrum","figs/2015/Otolitos_ Oct/Diplectrum/Oct-19(32).jpg"
"Oct-19(44).jpg","Diplectrum","figs/2015/Otolitos_ Oct/Diplectrum/Oct-19(44).jpg"
"Oct-19(62).jpg","Diplectrum","figs/2015/Otolitos_ Oct/Diplectrum/Oct-19(62).jpg"
"Oct-19(7).jpg","Diplectrum","figs/2015/Otolitos_ Oct/Diplectrum/Oct-19(7).jpg"
"Oct-20(12).jpg","Diplectrum","figs/2015/Otolitos_ Oct/Diplectrum/Oct-20(12).jpg"
"Oct-22(11).jpg","Diplectrum","figs/2015/Otolitos_ Oct/Diplectrum/Oct-22(11).jpg"
"Oct-19(12).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-19(12).jpg"
"Oct-19(17).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-19(17).jpg"
"Oct-19(25).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-19(25).jpg"
"Oct-23(22).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-23(22).jpg"
"Oct-23(5).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-23(5).jpg"
"Oct-23(9).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-23(9).jpg"
"Oct-30(3).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-30(3).jpg"
"Oct-30(4).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-30(4).jpg"
"Oct-30(5).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-30(5).jpg"
"Oct-30(7).jpg","Epinephelus","figs/2015/Otolitos_ Oct/Epinephelus/Oct-30(7).jpg"
